etaxonomy_key,irn,SummaryData
331,188642,"Gonyodiscus rotundata"
332,188643,"Gonyodiscus shimeki"
333,191649,"Hermes terebra"
334,193606,"Padipes planaxis"
335,194086,"Plecochilus auris-sciuri Guppy"
336,194267,"Polita alliaria"
337,194269,"Polita chersinella"
338,194270,"Polita depressa Studer"
339,194271,"Polita draparnaldi Beck"
340,194272,"Polita glabra Férussac"
341,194273,"Polita glabra var. striaria"
342,194274,"Polita hammonis"
343,194275,"Polita indentata var. umbilicata Cockerell"
344,194276,"Polita indentata umbilicata Cockerell"
345,194277,"Polita navarrica Bourguignat"
346,194278,"Polita nitidula Draparnaud"
347,194279,"Polita radiatula"
348,194280,"Polita rogersi Woodward"
349,194322,"Polygra stenotrema"
350,194323,"Polygra stenotrema seminuda"
351,194263,"Poecilozonites circumfirmatus peilei Vanatta"
352,194262,"Poecilozonites circumfirmatus corneus Pilsbry"
353,180287,"Poecilozonites circumfirmatus (Redfield, 1853)"
354,194265,"Poecilozonites reinianus goodei Pilsbry"
355,180301,"Pycnogyra pentagyra (Pilsbry)"
356,180411,"Ventridens volusiae (Pilsbry, 1900)"
357,199426,"Zonitoides (Ventridens) collisella"
358,152111,"Gastrodonta ligera (Say)"
359,197401,"Zonitoides milium pugetensis Dall"
360,180407,"Ventridens percallosus (Pilsbry, 1898)"
361,164203,"Striatura ferrea Morse, 1864"
362,195809,"Striatura milium mericionalis"
363,195811,"Striatura milium meridionalus"
364,180320,"Striatura exigua (Stimpson, 1850)"
365,195810,"Striatura milium meridionalis Pilsbry & Ferriss"
366,180321,"Striatura meridionalis (Pilsbry & Ferriss, 1906)"
367,180323,"Striatura milium (Morse, 1859)"
368,164262,"Ventridens eutropis Pilsbry, 1946"
369,180396,"Ventridens brittsi (Pilsbry, 1892)"
370,180398,"Ventridens coelaxis (Pilsbry, 1899)"
371,180399,"Ventridens collisella (Pilsbry, 1896)"
372,180400,"Ventridens decussatus (Walker & Pilsbry, 1902)"
373,155520,"Ventridens intertextus eutropis Pilsbry"
374,199430,"Zonitoides (Ventridens) gularis descussatus"
375,199431,"Zonitoides (Ventridens) gularis gularis"
376,199432,"Zonitoides (Ventridens) gularis lawi"
377,199433,"Zonitoides (Ventridens) gularis theloides"
378,180473,"Zonitoides elliotti (Redfield, 1856)"
379,155521,"Ventridens suppressus magnidens Pilsbry"
380,197408,"Zonitoides minuscula"
381,180409,"Ventridens theloides (Walker & Pilsbry, 1902)"
382,180482,"Zonitoides subarboreus (Pilsbry)"
383,155649,"Zonitoides lasmodon volusiae (Pilsbry)"
384,636939,"Ventridens (Ventridens) gularis cuspidatus"
385,188522,"Gastrodonta suppressa Say"
386,164121,"Gastrodonta interna fonticula Wurtz, 1948"
387,188485,"Gastrodonta collisella percallosa Pilsbry, 1898"
388,188500,"Gastrodonta gularis lawae W.G. Binney"
389,188486,"Gastrodonta demissa"
390,188489,"Gastrodonta demissa amellapa"
391,188490,"Gastrodonta demissa brittsi"
392,188491,"Gastrodonta demissa brittsii"
393,188496,"Gastrodonta gularis Say"
394,188497,"Gastrodonta gularis var. coelaxis"
395,188498,"Gastrodonta gularis decussata"
396,188501,"Gastrodonta gularis theloides"
397,188503,"Gastrodonta intertexta"
398,529607,"Striatura chishimana (Pilsbry & Hirase, 1904)"
399,164326,"Zonitoides chishimanus Pilsbry & Hirase, 1904"
400,180286,"Poecilozonites bermudensis (L. Pfeiffer, 1845)"
401,180289,"Poecilozonites reinianus (L. Pfeiffer, 1863)"
402,199346,"Ventridens (Ventridens) gularis theloides"
403,188472,"Gastrodonta acerra"
404,180478,"Zonitoides nitidus (O. F. Müller, 1774)"
405,642787,"Gastrodonta intertenta Binney"
406,643504,"Poecilozonites bermudensis zonatus Verrill"
407,643971,"Ventridens gularis lawae W.G. Binney"
408,644029,"Zonitoides hentogyra Pilsbry"
409,644030,"Zonitoides excavata vitrina Férussac"
410,644031,"Zonitoides sculptilis"
411,644032,"Zonitoides elegantula"
412,164122,"Glyphyalinia burringtoni Pilsbry, 1928"
413,152221,"Glyphyalinia rhoadsi rhoadsi (Pilsbry)"
414,180134,"Glyphyalinia rhoadsi (Pilsbry, 1899)"
415,180135,"Glyphyalinia roemeri (Pilsbry & Ferriss, 1906)"
416,180139,"Glyphyalinia vanattai (Pilsbry & Walker, 1902)"
417,192803,"Mesomphix fuliginosus polita"
418,192808,"Mesomphix laevigata"
419,193325,"Omphalina andrewsae"
420,198978,"Retinella (Perpolita) binneyana"
421,198979,"Retinella (Perpolita) binneyana occidentalis"
422,183101,"Retinella burringtoni (Pilsbry)"
423,183100,"Retinella binneyana (Morse)"
424,195374,"Retinella hammonia electrina Gould"
425,183102,"Retinella dalliana (Pilsbry & Simpson)"
426,180181,"Nesovitrea dalliana (Pilsbry & Simpson, 1889)"
427,193326,"Omphalina andrewsae var. montivaga"
428,193339,"Omphalina fuliginosa polita"
429,192799,"Mesomphix andrewsae montivaga Pilsbry"
430,164140,"Mesomphix cupreus politus Pilsbry"
431,153694,"Mesomphix cupreus ozarkensis (Pilsbry & Ferriss)"
432,164145,"Mesomphix vulgatus hartwrightii Pilsbry"
433,180154,"Mesomphix andrewsae (Pilsbry, 1895)"
434,154041,"Omphalina pilsbryi Clapp"
435,195535,"Selenites concava Say"
436,195538,"Selenites concava var. hybrida Hemphill"
437,195539,"Selenites concava var. occidentalis Hemphill"
438,195541,"Selenites concava var. transfuga Hemphill"
439,195545,"Selenites concavus var. keepi Hemphill"
440,195548,"Selenites duranti Newcomb"
441,195549,"Selenites duranti var. catalinensis Hemphill"
442,195550,"Selenites hybrida"
443,195555,"Selenites sportella Gould"
444,195558,"Selenites vanconverensis Lea"
445,195561,"Selenites voyana"
446,195562,"Selenites voyana var. simplicilabris Ancey"
447,195965,"Subemarginula notata Linnaeus"
448,196046,"Tachea austriaca f. minor Clessin"
449,196047,"Tachea hortensis Linnaeus"
450,196048,"Tachea hortensis f. lutea Moquin-Tandon"
451,196049,"Tachea hortensis f. lutescens Menke"
452,196050,"Tachea hortensis var. citrina"
453,196051,"Tachea hortensis var. fusca-rufolabiata"
454,196052,"Tachea hortensis var. rufescens"
455,196053,"Tachea hortensis minor Zimmermann"
456,196054,"Tachea nemoralis Linnaeus"
457,196055,"Tachea nemorlia"
458,196056,"Tachea splendida Draparnaud"
459,197062,"Xerophila candidula Studer"
460,197109,"Xerophila spirula"
461,197122,"Xerophila (Helicella) cespitum Draparnaud"
462,197123,"Xerophila (Helicella) obiva Ziegler"
463,197234,"Zonides gastrodonta suppressa Say"
464,197513,"Ancistrosyrinx radiata"
465,169891,"Isognomon alatus (Gmelin, 1791)"
466,169892,"Isognomon bicolor (C.B. Adams, 1845)"
467,642970,"Isognomon incisa Conrad"
468,199435,"Polygyra pennsylvanica Green"
469,150544,"Ashmunella thomsoniana cooperae Cockerell"
470,642710,"Eutrochatella remota Poey"
471,197975,"Cytherea (Lioconcha) hieroglyphica"
472,198017,"Echinochama arcinella"
473,199059,"Sistrum nodulosum"
